date,open,high,low,close,adjclose,volume,moving_avg,increase_rate_vol,increase_rate_adjclose,TSLA_open,TSLA_high,TSLA_low,TSLA_close,TSLA_adjclose,lgchem_open,lgchem_close,lgchem_high,lgchem_low,lginnotek_open,lginnotek_close,lginnotek_high,lginnotek_low,compound,new_us_cases,new_us_deaths,new_ca_cases,new_ca_deaths
2010-01-04,7.6225,7.66071,7.585,7.64321,6.6048,493729600.0,6.6048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,7.66429,7.69964,7.61607,7.65643,6.61622,601904800.0,6.61051,0.2190980650137241,0.0017290455426356903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,7.65643,7.68679,7.52679,7.53464,6.51098,552160000.0,6.577333333333333,-0.08264562768065647,-0.015906363452243156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,7.5625,7.57143,7.46607,7.52071,6.49894,477131200.0,6.557735,-0.13588235294117648,-0.0018491839938073575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-08,7.51071,7.57143,7.46643,7.57071,6.54215,447610800.0,6.5546180000000005,-0.06187061336588343,0.006648776569717553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,7.6,7.60714,7.44464,7.50393,6.48444,462229600.0,6.542921666666667,0.03265962304752253,-0.008821259066209144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-12,7.47107,7.49179,7.37214,7.41857,6.41068,594459600.0,6.524030000000001,0.2860699531142099,-0.011374922121262598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-13,7.42393,7.53321,7.28929,7.52321,6.5011,605892000.0,6.52116375,0.01923158445081886,0.014104587968827012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-14,7.50393,7.51643,7.465,7.47964,6.46345,432894000.0,6.514751111111112,-0.28552613337030364,-0.00579132762147947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-15,7.53321,7.55714,7.3525,7.35464,6.35544,594067600.0,6.49882,0.37231654862391256,-0.016710889695131882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-19,7.44036,7.68536,7.40143,7.68,6.63659,730007600.0,6.511344545454546,0.22882917701621835,0.04423769243356876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-20,7.67536,7.69821,7.48214,7.56179,6.53444,612152800.0,6.513269166666667,-0.16144325072780064,-0.015391940740651443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-21,7.57429,7.61821,7.40036,7.43107,6.42148,608154400.0,6.5062084615384626,-0.0065317025422410874,-0.017286867734649054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-22,7.385,7.41071,7.04143,7.0625,6.10298,881767600.0,6.477406428571429,0.44990745771139695,-0.0495991578265447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-25,7.2325,7.31071,7.14964,7.2525,6.26717,1065699600.0,6.463390666666667,0.20859464557327803,0.02690325054317735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-26,7.35536,7.6325,7.235,7.355,6.35574,1867110000.0,6.4566625,0.7520040356588292,0.01413237553792219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-27,7.3875,7.52071,7.12607,7.42429,6.41562,1722568400.0,6.454248235294118,-0.07741461402916808,0.00942140490328423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-28,7.31893,7.33929,7.09643,7.1175,6.15051,1173502400.0,6.437373888888889,-0.31874844563501803,-0.04132258456704106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-29,7.18143,7.22143,6.79464,6.85929,5.92738,1245952400.0,6.410532105263158,0.061738263168443455,-0.036278292369250585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,6.87036,7.0,6.83214,6.95464,6.00978,749876400.0,6.390494500000001,-0.3981500416869858,0.013901588897624212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-02,6.99679,7.01143,6.90643,6.995,6.04465,698342400.0,6.374025714285715,-0.06872332560405955,0.005802209065889223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-03,6.97036,7.15,6.94357,7.11536,6.14866,615328000.0,6.3637818181818195,-0.11887349243007442,0.01720695160182967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
