date,open,high,low,close,adjclose,volume,moving_avg,increase_rate_vol,increase_rate_adjclose,AAPL_open,AAPL_high,AAPL_low,AAPL_close,AAPL_adjclose,lgchem_open,lgchem_close,lgchem_high,lgchem_low,lginnotek_open,lginnotek_close,lginnotek_high,lginnotek_low,compound,new_us_cases,new_us_deaths,new_ca_cases,new_ca_deaths
2010-06-29,3.8,5.0,3.508,4.778,4.778,93831500.0,4.778,0.0,0.0,9.43286,9.4425,9.08214,9.14893,7.90595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-30,5.158,6.084,4.66,4.766,4.766,85935500.0,4.772,-0.08415084486553023,-0.0025115110925072346,9.16821,9.21321,8.92893,8.98321,7.76275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,5.0,5.184,4.054,4.392,4.392,41094000.0,4.645333333333333,-0.5218041438055285,-0.07847251363827101,9.08214,9.1,8.68643,8.87429,7.66862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-02,4.6,4.62,3.742,3.84,3.84,25699000.0,4.444,-0.37462889959604806,-0.12568306010928973,8.94607,8.96179,8.68571,8.81929,7.62109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-06,4.0,4.0,3.166,3.222,3.222,34334500.0,4.1996,0.336024748044671,-0.16093749999999998,8.96429,9.02857,8.79143,8.87964,7.67325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-07,3.28,3.326,2.996,3.16,3.16,34608500.0,4.0263333333333335,0.007980311348643493,-0.01924270639354433,8.94607,9.24179,8.91964,9.23821,7.9831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-08,3.228,3.504,3.114,3.492,3.492,38557000.0,3.95,0.11409046910441077,0.10506329113924046,9.37429,9.38929,9.10321,9.2175,7.9652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-09,3.516,3.58,3.31,3.48,3.48,20253000.0,3.8912500000000003,-0.47472573073631247,-0.003436426116838491,9.17464,9.28214,9.11286,9.27214,8.01242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-12,3.59,3.614,3.4,3.41,3.41,11012500.0,3.8377777777777786,-0.4562533945588308,-0.020114942528735587,9.23321,9.35179,9.10214,9.18893,7.94051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-13,3.478,3.728,3.38,3.628,3.628,13400500.0,3.8168000000000006,0.21684449489216798,0.06392961876832844,9.15429,9.15714,8.80107,8.99286,7.77108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-14,3.588,4.03,3.552,3.968,3.968,20976000.0,3.8305454545454554,0.565314727062423,0.09371554575523701,8.90643,9.13571,8.89286,9.02607,7.79978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-15,3.988,4.3,3.8,3.978,3.978,18699000.0,3.8428333333333344,-0.10855263157894737,0.0025201612903226387,8.86536,9.1775,8.83214,8.98036,7.76028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-16,4.14,4.26,4.01,4.128,4.128,13106500.0,3.8647692307692316,-0.2990801647146906,0.037707390648567096,9.04214,9.10607,8.87179,8.925,7.71244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-19,4.274,4.45,4.184,4.382,4.382,12432500.0,3.9017142857142866,-0.051424865524739634,0.06153100775193788,8.92429,8.92429,8.55714,8.77071,7.57912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-20,4.37,4.37,4.01,4.06,4.06,9126500.0,3.9122666666666674,-0.26591594610898855,-0.073482428115016,8.675,9.03214,8.57179,8.99607,7.77386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-21,4.132,4.18,3.9,4.044,4.044,6262500.0,3.9205000000000005,-0.3138114282583685,-0.003940886699507393,9.4675,9.46964,9.07143,9.08,7.84638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-22,4.1,4.25,4.074,4.2,4.2,4789000.0,3.936941176470589,-0.23528942115768464,0.038575667655786496,9.20286,9.28571,9.11821,9.25071,7.99391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-23,4.238,4.312,4.212,4.258,4.258,3268000.0,3.954777777777778,-0.317602839841303,0.013809523809523768,9.18179,9.29929,9.15286,9.28357,8.0223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-26,4.3,4.3,4.06,4.19,4.19,4611000.0,3.967157894736842,0.4109547123623011,-0.015969938938468674,9.28571,9.28929,9.20393,9.26,8.00193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-27,4.182,4.236,4.052,4.11,4.11,3098500.0,3.9743000000000004,-0.32801995228800696,-0.019093078758949895,9.31679,9.45714,9.29643,9.43143,8.15007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-28,4.11,4.18,4.102,4.144,4.144,2336000.0,3.982380952380953,-0.24608681620138778,0.008272506082725013,9.41679,9.49964,9.29464,9.32,8.05378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-29,4.154,4.176,4.0,4.07,4.07,3080000.0,3.986363636363637,0.3184931506849315,-0.017857142857142818,9.31107,9.38036,9.14643,9.21821,7.96582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-30,4.04,4.088,3.91,3.988,3.988,2134500.0,3.9864347826086965,-0.30698051948051946,-0.020147420147420218,9.13893,9.275,9.10357,9.1875,7.93928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-02,4.1,4.194,4.066,4.184,4.184,3590500.0,3.9946666666666673,0.6821269618177559,0.049147442326980983,9.30143,9.37821,9.27214,9.35179,8.08124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-03,4.2,4.39,4.164,4.39,4.39,6152500.0,4.01048,0.713549644896254,0.049235181644359347,9.32179,9.40214,9.265,9.35464,8.08371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-04,4.39,4.436,4.17,4.252,4.252,4565000.0,4.019769230769231,-0.25802519301097115,-0.03143507972665146,9.38714,9.43857,9.29679,9.39214,8.11612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-05,4.308,4.31,4.01,4.09,4.09,3981000.0,4.022370370370371,-0.12792990142387733,-0.03809971777986828,9.3475,9.39929,9.30536,9.34643,8.07661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-06,4.02,4.032,3.904,3.918,3.918,3709500.0,4.018642857142858,-0.0681989449886963,-0.042053789731051276,9.27786,9.33893,9.20107,9.28893,8.02693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-09,3.98,3.996,3.89,3.92,3.92,4063500.0,4.015241379310345,0.09543065103113627,0.000510464522715615,9.33857,9.3625,9.27036,9.34821,8.07816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-10,3.93,3.93,3.764,3.806,3.806,6406500.0,4.0082666666666675,0.5765965300849022,-0.029081632653061195,9.28036,9.30179,9.19821,9.26464,8.00594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-11,3.738,3.776,3.57,3.58,3.58,3988000.0,3.994451612903226,-0.37750721923046904,-0.059379926431949545,9.12143,9.13179,8.92179,8.93536,7.72139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-12,3.56,3.58,3.478,3.52,3.52,3455000.0,3.9796250000000004,-0.13365095285857573,-0.016759776536312863,8.81036,9.03929,8.79,8.9925,7.77077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-13,3.636,3.69,3.532,3.664,3.664,3170000.0,3.9700606060606063,-0.0824891461649783,0.040909090909090944,8.9875,8.99571,8.89607,8.89643,7.68775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-16,3.69,3.76,3.652,3.756,3.756,2429000.0,3.963764705882353,-0.23375394321766563,0.025109170305676755,8.84214,8.92893,8.80786,8.84429,7.6427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-17,3.792,3.88,3.756,3.83,3.83,2239500.0,3.9599428571428574,-0.07801564429806505,0.019701810436634794,8.93143,9.09393,8.9,8.99893,7.77633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-18,3.918,3.918,3.72,3.754,3.754,3006500.0,3.9542222222222225,0.3424871623130163,-0.01984334203655354,9.01286,9.09536,8.985,9.03821,7.81027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-19,3.708,3.85,3.666,3.758,3.758,2895500.0,3.948918918918919,-0.03692000665225345,0.0010655301012253606,9.03,9.05286,8.88143,8.92429,7.71182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-20,3.73,3.822,3.702,3.82,3.82,1480000.0,3.9455263157894738,-0.48886202728371614,0.01649813730707819,8.90679,9.06857,8.89286,8.91571,7.70442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-23,3.818,4.078,3.8,4.026,4.026,5440500.0,3.9475897435897442,2.6760135135135137,0.05392670157068062,8.9925,9.0,8.75893,8.77857,7.58591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-24,3.85,3.942,3.79,3.84,3.84,3365500.0,3.9449000000000005,-0.38139876849554266,-0.04619970193740684,8.66679,8.67857,8.52321,8.56893,7.40475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
