,ticker,date,open,high,low,close,adjclose,volume
0,TSLA,2010-06-29,3.7999999523162837,5.0,3.507999897003174,4.777999877929688,4.777999877929688,93831500
1,TSLA,2010-06-30,5.1579999923706055,6.084000110626222,4.6599998474121085,4.765999794006348,4.765999794006348,85935500
2,TSLA,2010-07-01,5.0,5.184000015258789,4.053999900817871,4.392000198364259,4.392000198364259,41094000
3,TSLA,2010-07-02,4.599999904632568,4.619999885559082,3.742000102996826,3.839999914169312,3.839999914169312,25699000
4,TSLA,2010-07-06,4.0,4.0,3.1659998893737797,3.2219998836517334,3.2219998836517334,34334500
5,TSLA,2010-07-07,3.2799999713897705,3.325999975204468,2.996000051498413,3.1600000858306885,3.1600000858306885,34608500
6,TSLA,2010-07-08,3.2279999256134038,3.503999948501587,3.114000082015991,3.492000102996826,3.492000102996826,38557000
7,TSLA,2010-07-09,3.5160000324249268,3.5799999237060547,3.309999942779541,3.4800000190734863,3.4800000190734863,20253000
8,TSLA,2010-07-12,3.5899999141693115,3.614000082015991,3.400000095367432,3.4100000858306885,3.4100000858306885,11012500
9,TSLA,2010-07-13,3.4779999256134038,3.7279999256134033,3.380000114440918,3.628000020980835,3.628000020980835,13400500
10,TSLA,2010-07-14,3.588000059127808,4.0300002098083505,3.5520000457763667,3.9679999351501465,3.9679999351501465,20976000
11,TSLA,2010-07-15,3.98799991607666,4.300000190734863,3.7999999523162837,3.9779999256134033,3.9779999256134033,18699000
12,TSLA,2010-07-16,4.139999866485597,4.260000228881837,4.010000228881837,4.127999782562257,4.127999782562257,13106500
13,TSLA,2010-07-19,4.274000167846681,4.449999809265137,4.184000015258788,4.381999969482422,4.381999969482422,12432500
14,TSLA,2010-07-20,4.369999885559082,4.369999885559082,4.010000228881837,4.059999942779541,4.059999942779541,9126500
15,TSLA,2010-07-21,4.131999969482422,4.179999828338623,3.900000095367432,4.044000148773193,4.044000148773193,6262500
16,TSLA,2010-07-22,4.099999904632568,4.25,4.073999881744385,4.199999809265137,4.199999809265137,4789000
17,TSLA,2010-07-23,4.23799991607666,4.311999797821045,4.2119998931884775,4.257999897003174,4.257999897003174,3268000
18,TSLA,2010-07-26,4.300000190734863,4.300000190734863,4.059999942779541,4.190000057220459,4.190000057220459,4611000
19,TSLA,2010-07-27,4.182000160217285,4.236000061035156,4.052000045776366,4.110000133514403,4.110000133514403,3098500
20,TSLA,2010-07-28,4.110000133514403,4.179999828338623,4.102000236511231,4.144000053405762,4.144000053405762,2336000
21,TSLA,2010-07-29,4.15399980545044,4.176000118255615,4.0,4.070000171661377,4.070000171661377,3080000
22,TSLA,2010-07-30,4.0399999618530265,4.0879998207092285,3.910000085830689,3.98799991607666,3.98799991607666,2134500
23,TSLA,2010-08-02,4.099999904632568,4.193999767303467,4.065999984741212,4.184000015258788,4.184000015258788,3590500
24,TSLA,2010-08-03,4.199999809265137,4.389999866485597,4.1640000343322745,4.389999866485597,4.389999866485597,6152500
25,TSLA,2010-08-04,4.389999866485597,4.435999870300293,4.170000076293944,4.251999855041504,4.251999855041504,4565000
26,TSLA,2010-08-05,4.308000087738037,4.309999942779541,4.010000228881837,4.0900001525878915,4.0900001525878915,3981000
27,TSLA,2010-08-06,4.019999980926514,4.0320000648498535,3.9040000438690186,3.9179999828338623,3.9179999828338623,3709500
28,TSLA,2010-08-09,3.9800000190734863,3.996000051498413,3.890000104904175,3.920000076293945,3.920000076293945,4063500
