date,ticker,link,headline,neg,neu,pos,compound
2020-01-01,AAPL,https://www.investing.com/news/stock-market-news/us-stocks-higher-at-close-of-trade-dow-jones-industrial-average-up-027-2050846,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.27% By Investing.com,0.046,0.883,0.071,0.743
2020-01-02,AAPL,https://www.investing.com/news/stock-market-news/xiaomi-to-invest-7-billion-in-5g-ai-and-iot-over-next-five-years-2050941,"Xiaomi to invest $7 billion in 5G, AI and IoT over next five years By Reuters",0.0,0.8859999999999999,0.114,0.9757
2020-01-02,AAPL,https://www.investing.com/news/stock-market-news/tech-leads-us-stocks-to-openingday-2020-rally-markets-wrap-2051479,Tech Leads U.S. Stocks to Opening-Day 2020 Rally: Markets Wrap By Bloomberg,0.064,0.835,0.1,0.8654
2020-01-02,AAPL,https://www.investing.com/news/stock-market-news/wall-street-starts-2020-with-records-as-china-stimulus-adds-to-optimistic-mood-2051110,"Wall Street starts 2020 with new records on China stimulus, trade hopes By Reuters",0.05,0.81,0.14,0.9918
2020-01-02,AAPL,https://www.investing.com/news/stock-market-news/us-stocks-higher-at-close-of-trade-dow-jones-industrial-average-up-116-2051552,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 1.16% By Investing.com,0.04,0.8859999999999999,0.07400000000000001,0.8834
2020-01-02,AAPL,https://www.investing.com/news/stock-market-news/asia-stock-futures-gain-as-sp-500-hits-new-high-markets-wrap-2051563,Asia Stock Futures Gain as S&P 500 Hits New High: Markets Wrap By Bloomberg,0.037000000000000005,0.86,0.102,0.9393
2020-01-03,AAPL,https://www.investing.com/news/stock-market-news/asian-markets-mixed-after-wall-street-reaches-alltime-highs-2051627,Asian Markets Mixed After Wall Street Reaches All-Time Highs By Investing.com,0.023,0.851,0.125,0.9738
2020-01-03,AAPL,https://www.investing.com/news/forex-news/eu-trade-chief-plans-january-us-trip-in-bid-to-ease-tensions-2051846,EU Trade Chief Plans January U.S. Trip in Bid to Ease Tensions By Bloomberg,0.105,0.8490000000000001,0.046,-0.9709
2020-01-04,AAPL,https://www.investing.com/news/technology-news/germanys-bosch-to-offer-lowercost-sensors-for-selfdriving-cars-2050950,Germany's Bosch to offer lower-cost sensors for self-driving cars By Reuters,0.024,0.9109999999999999,0.064,0.97
2020-01-04,AAPL,https://www.investing.com/news/technology-news/trump-administration-officials-to-talk-tech-policy-at-las-vegas-confab-2052203,Trump administration officials to talk tech policy at Las Vegas confab By Reuters,0.033,0.8640000000000001,0.10300000000000001,0.9753
