date,ca_cases,ca_deaths
2020-09-06,735235.0,13726.0
2020-09-07,737911.0,13758.0
2020-09-08,739527.0,13841.0
2020-09-09,742865.0,13978.0
2020-09-10,746191.0,14089.0
2020-09-11,750298.0,14251.0
2020-09-12,754923.0,14329.0
2020-09-13,757778.0,14385.0
2020-09-14,760013.0,14451.0
2020-09-15,762963.0,14615.0
2020-09-16,766201.0,14721.0
2020-09-17,769831.0,14812.0
2020-09-18,774135.0,14912.0
2020-09-19,778400.0,14987.0
2020-09-20,781694.0,15018.0
2020-09-21,784324.0,15071.0
2020-09-22,787470.0,15204.0
2020-09-23,790640.0,15314.0
2020-09-24,794040.0,15398.0
2020-09-25,798237.0,15532.0
2020-09-26,802308.0,15587.0
2020-09-27,805263.0,15608.0
2020-09-28,807425.0,15640.0
2020-09-29,810625.0,15792.0
2020-09-30,813687.0,15888.0
2020-10-01,817277.0,15986.0
2020-10-02,819436.0,16074.0
2020-10-03,823729.0,16120.0
2020-10-04,826784.0,16149.0
2020-10-05,828461.0,16177.0
2020-10-06,831225.0,16262.0
2020-10-07,834800.0,16361.0
2020-10-08,838606.0,16428.0
2020-10-09,842776.0,16500.0
2020-10-10,846579.0,16564.0
2020-10-11,850028.0,16572.0
2020-10-12,852406.0,16581.0
2020-10-13,855072.0,16639.0
2020-10-14,858401.0,16757.0
