,Link,Date,Headline,neg,neu,pos,compound
18,https://www.investing.com/news/technology-news/chinese-internet-firms-falling-behind-on-renewable-energy-goals-greenpeace-2055561,2020-01-09,Chinese internet firms falling behind on renewable energy goals: Greenpeace By Reuters,0.032,0.863,0.105,0.9745
19,https://www.investing.com/news/stock-market-news/apples-iphone-sales-in-china-up-18-in-december-government-data-2055747,2020-01-09,Apple's iPhone sales in China up 18% in December: government data By Reuters,0.012,0.921,0.067,0.8689
20,https://www.investing.com/news/stock-market-news/stocks--wall-street-to-post-strong-gains-at-open-2055787,2020-01-09,Stocks - Wall Street to Post Strong Gains at Open By Investing.com,0.05,0.868,0.083,0.802
21,https://www.investing.com/news/stock-market-news/apple-notches-another-alltime-high-china-iphone-sales-pop-2056083,2020-01-09,Apple Notches Another All-Time High; China iPhone Sales Pop By Investing.com,0.0,0.942,0.058,0.7964
22,https://www.investing.com/news/stock-market-news/stocks-wall-street-notches-record-highs-as-geopolitical-jitters-ease-2056331,2020-01-09,Stocks: Wall Street Notches Record Highs as Geopolitical Jitters Ease By Investing.com,0.067,0.845,0.088,0.3182
23,https://www.investing.com/news/stock-market-news/wall-street-hits-record-highs-on-trade-optimism-apple-gains-2055840,2020-01-09,"Wall Street notches records on trade optimism, Apple gains By Reuters",0.079,0.825,0.096,0.5423
24,https://www.investing.com/news/stock-market-news/us-stocks-higher-at-close-of-trade-dow-jones-industrial-average-up-074-2056425,2020-01-09,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.74% By Investing.com,0.039,0.892,0.07,0.886
25,https://www.investing.com/news/stock-market-news/asian-markets-remain-upbeat-tech-stocks-in-focuson-apple-surge-2056522,2020-01-10,"Asian markets remain upbeat, tech stocks in focus on Apple surge By Investing.com",0.015,0.895,0.09,0.9612
26,https://www.investing.com/news/world-news/explainer-what-is-at-stake-in-taiwans-election-2056544,2020-01-10,Explainer: What is at stake in Taiwan's election By Reuters,0.059,0.852,0.089,0.9589
27,https://www.investing.com/news/economy/brussels-edition-a-trillioneuro-pile-of-green-cash-2056577,2020-01-10,Brussels Edition: A Trillion-Euro Pile of Green Cash By Bloomberg,0.055,0.869,0.076,0.9376
28,https://www.investing.com/news/world-news/obamas-not-kardashians-likely-to-be-model-as-meghan-and-harry-seek-fresh-brand-2056609,2020-01-10,"Obamas, not Kardashians, likely to be model as Meghan and Harry seek fresh brand By Reuters",0.01,0.929,0.061,0.9601
29,https://www.investing.com/news/stock-market-news/premarket-movers--eli-lilley-boeing-in-view-2056817,2020-01-10,"Pre-market Movers - Eli Lilley, Boeing in View By Investing.com",0.025,0.947,0.028,0.0516
30,https://www.investing.com/news/stock-market-news/dow-surpasses-29000-as-investors-look-past-weak-jobs-data-2056774,2020-01-10,"Wall Streets trades near record high, brushes off weak jobs data By Reuters",0.029,0.904,0.068,0.9287
31,https://www.investing.com/news/technology-news/goldman-sachs-finally-launches-app-for-online-bank-marcus-2057039,2020-01-10,Goldman Sachs finally launches app for online bank Marcus By Reuters,0.021,0.921,0.058,0.7906
32,https://www.investing.com/news/technology-news/apple-pushes-recycling-with-robot-but-mined-metals-still-needed-2057154,2020-01-11,Apple pushes recycling of iPhone with 'Daisy' robot By Reuters,0.029,0.947,0.025,0.1027
33,https://www.investing.com/news/stock-market-news/tech-sector-leads-stocks-higher-bonds-decline-markets-wrap-2058162,2020-01-13,Tech Sector Leads Stocks Higher; Bonds Decline: Markets Wrap By Bloomberg,0.044,0.82,0.137,0.9864
34,https://www.investing.com/news/stock-market-news/stockbeat--apple-continues-march-into-record-territory-on-upgrade-2058234,2020-01-13,StockBeat : Apple Continues March Into Record Territory on Upgrade By Investing.com,0.024,0.918,0.058,0.871
35,https://www.investing.com/news/stock-market-news/tech-leads-stocks-to-record-highs-bonds-decline-markets-wrap-2058249,2020-01-13,Tech Leads Stocks to Record Highs; Bonds Decline: Markets Wrap By Bloomberg,0.048,0.832,0.12,0.98
36,https://www.investing.com/news/stock-market-news/roku-jumps-as-it-impresses-in-las-vegas-2058341,2020-01-13,Roku Jumps as It Impresses in Las Vegas By Investing.com,0.0,0.888,0.112,0.926
37,https://www.investing.com/news/stock-market-news/stocks--sp-nasdaq-hit-alltime-highs-as-tech-continues-to-shine-2058357,2020-01-13,"Stocks - S&P, Nasdaq Hit All-Time Highs as Tech Continues to Shine By Investing.com",0.021,0.923,0.056,0.8979
38,https://www.investing.com/news/stock-market-news/us-stocks-higher-at-close-of-trade-dow-jones-industrial-average-up-029-2058457,2020-01-13,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.29% By Investing.com,0.046,0.883,0.071,0.8225
39,https://www.investing.com/news/stock-market-news/us-regulators-to-review-2018-fatal-tesla-crash-in-california-2059135,2020-01-14,U.S. agency to determine cause of 2018 fatal Tesla 'Autopilot' crash By Reuters,0.161,0.773,0.067,-0.9937
40,https://www.investing.com/news/stock-market-news/disney-app-reportedly-downloaded-41m-times-shares-climb-2059251,2020-01-14,Disney+ App Reportedly Downloaded 41M Times; Shares Climb By Investing.com,0.012,0.91,0.078,0.7906
41,https://www.investing.com/news/technology-news/google-cutting-web-cookies-ending-lucrative-tracking-tool-for-advertisers-2059376,2020-01-14,"Google cutting web cookies, ending lucrative tracking tool for advertisers By Reuters",0.047,0.868,0.085,0.9419
42,https://www.investing.com/news/stock-market-news/stocks--sp-eases-from-record-as-trade-optimism-cools-2059419,2020-01-14,Stocks - S&P Eases From Record as Trade Optimism Cools By Investing.com,0.04,0.864,0.096,0.9285
43,https://www.investing.com/news/stock-market-news/us-stocks-mixed-at-close-of-trade-dow-jones-industrial-average-up-011-2059497,2020-01-14,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.11% By Investing.com,0.066,0.872,0.062,-0.6249
44,https://www.investing.com/news/stock-market-news/trump-says-apple-refusing-to-unlock-phones-used-by-killers-drug-dealers-2059556,2020-01-15,Trump criticizes Apple's encryption stance on Pensacola phones By Reuters,0.084,0.834,0.083,-0.5707
45,https://www.investing.com/news/technology-news/mnuchin-urges-apple-other-tech-companies-to-work-with-law-enforcement-2059991,2020-01-15,"Mnuchin urges Apple, other tech companies to work with law enforcement By Reuters",0.048,0.902,0.051,-0.0635
46,https://www.investing.com/news/general/director-says-in-lawsuit-apple-shyamalan-stole-her-movie-2060542,2020-01-16,"Director says in lawsuit Apple, Shyamalan stole her movie By Reuters",0.07,0.856,0.075,0.1513
47,https://www.investing.com/news/technology-news/taiwans-tsmc-forecasts-sharp-rise-in-first-quarter-revenue-bets-on-robust-5g-demand-2060764,2020-01-16,"Taiwan's TSMC forecasts sharp rise in first quarter revenue, bets on robust 5G demand By Reuters",0.052,0.828,0.12,0.9942
48,https://www.investing.com/news/cryptocurrency-news/zcash-poised-to-finally-have-private-transactions-on-mobile-with-sdk-release-2060905,2020-01-16,Zcash Poised to Finally Have Private Transactions on Mobile With SDK Release By Cointelegraph,0.0,0.942,0.058,0.5994
49,https://www.investing.com/news/stock-market-news/what-to-watch-as-fourthquarter-earnings-kick-into-high-gear-2060880,2020-01-16,What to watch as fourth-quarter earnings kick into high gear By Reuters,0.025,0.866,0.109,0.9879
50,https://www.investing.com/news/economy/comic-markets-brace-for-earnings-parade-as-wall-street-notches-fresh-record-highs-2060952,2020-01-16,Comic: Markets Brace for Earnings Parade as Wall Street Notches Fresh Record Highs By Investing.com,0.0,0.954,0.046,0.8176
